date,open,high,low,close,volume,earnings_report_pm
2026-01-02,317.590000,322.913800,310.650000,315.320000,22043703,0
2026-01-05,317.695000,319.250000,315.249000,317.320000,19934019,0
2026-01-06,317.310000,321.560000,312.340000,314.550000,18989910,0
2026-01-07,314.570000,326.465000,314.500000,322.430000,24681825,0
2026-01-08,329.265000,330.540000,321.990000,326.010000,21789614,0
2026-01-09,327.490000,331.480000,326.250000,329.140000,17917732,0
2026-01-12,326.500000,334.440000,325.510000,332.730000,23893764,0
2026-01-13,335.280000,341.200000,334.350000,336.430000,24616700,0
2026-01-14,334.985000,337.030000,331.140000,336.310000,17839332,0
2026-01-15,338.055000,338.130000,331.290000,333.160000,16424864,0
2026-01-16,334.935000,335.239900,328.170000,330.340000,21868624,0
2026-01-20,321.240000,328.090000,320.890000,322.160000,27169853,0
2026-01-21,321.095000,332.725000,319.540100,328.380000,22791650,0
2026-01-22,334.265000,335.210000,328.880000,330.840000,19902110,0
2026-01-23,332.655000,334.030000,327.970000,328.430000,19110585,0
2026-01-26,328.200000,336.349900,327.490000,333.590000,18502451,0
2026-01-27,335.630000,338.215000,333.750000,335.000000,16080924,0
2026-01-28,336.610000,337.630000,332.130000,336.280000,17538476,0
2026-01-29,340.350000,342.290000,326.720000,338.660000,24548303,0
2026-01-30,334.460000,340.290000,332.640000,338.530000,21740202,0
2026-02-02,336.550000,345.165000,336.010000,344.900000,22775218,0
2026-02-03,348.515000,350.150000,338.590000,340.700000,25786533,0
2026-02-04,343.755000,344.250000,329.370000,333.340000,36991086,1
2026-02-05,313.200000,332.644000,306.920000,331.330000,51842004,0
2026-02-06,327.350000,330.640000,320.150000,323.100000,33877014,0
2026-02-09,321.240000,327.740000,317.700000,324.400000,26103255,0
2026-02-10,320.910000,321.630000,314.660000,318.630000,25281932,0
2026-02-11,318.960000,321.045000,310.130000,311.330000,24008065,0
2026-02-12,312.350000,316.480000,308.150000,309.370000,28193962,0
2026-02-13,307.985000,308.890000,303.900000,306.020000,20235950,0
2026-02-17,300.640000,304.890000,296.900000,302.820000,23750758,0
2026-02-18,302.432000,305.910000,301.980000,303.940000,15847701,0
2026-02-19,302.520000,306.030000,300.670000,303.560000,13448627,0
2026-02-20,304.800000,316.760000,304.420000,314.900000,33663143,0
2026-02-23,319.140000,319.455000,309.990000,311.690000,17641176,0
2026-02-24,310.640000,312.370000,306.090000,310.920000,15040656,0
2026-02-25,312.120000,313.660000,309.360000,313.030000,20209083,0
2026-02-26,312.805000,313.000000,302.410000,307.150000,22379980,0
2026-02-27,303.940000,312.080000,303.590500,311.430000,33389206,0
2026-03-02,302.965000,308.140000,301.060000,306.360000,21854368,0
2026-03-03,298.420000,303.940000,296.699400,303.560000,20361131,0
2026-03-04,302.685000,305.460000,300.800000,303.450000,20015599,0
2026-03-05,303.200000,303.370000,298.070000,300.910000,22643883,0
2026-03-06,296.072000,300.330000,295.250000,298.300000,17598003,0
2026-03-09,294.135000,306.500000,293.930000,306.010000,19632738,0
2026-03-10,305.875000,309.150000,305.310000,306.930000,14386421,0
2026-03-11,306.300000,311.069000,305.840000,308.420000,13376677,0
2026-03-12,306.210000,308.640000,300.840000,303.210000,15610193,0
2026-03-13,306.655000,307.260000,299.780100,301.460000,16857533,0
2026-03-16,303.600000,305.570000,301.810000,304.420000,14822047,0
