Stock quote and option quote for ORCL on 4/13/26 17:55:59

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
155.62,N,+17.53,157.84,K,158.00,U,80 x 200,"49,717,498",139.77,155.91,139.72

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
0,1.29%,27.94,.5,Q,4/9/26,345.72,121.235,"2,876,046,000",custom expression subscription limit exceeded

Theo parameters
Theo date,Theo stock price,Theo volatility
4/13/26, 0.00$, 0.00%

17 APR 26  (4)  100
,,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,Gamma,Rho,Theta,Vega,Extrinsic,Intrinsic,High,Low,Theo Price,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,Gamma,Rho,Theta,Vega,Extrinsic,Intrinsic,High,Low,Theo Price,,
,,<empty>,0,97.41%,2.59%,<empty>,.04,108.61%,.00,.00,-.10,.03,.63,0,0,0,20.77,0,W,1.26,B,1 MAY 26,245,87.25,X,91.25,H,<empty>,0,7.52%,92.48%,100 x 1,-.82,156.69%,.00,-.05,-.34,.08,2.09,87.16,0,0,122.14,,
,,<empty>,11,97.91%,2.09%,<empty>,.04,108.16%,.00,.00,-.08,.03,.50,0,0,0,19.80,0,S,1.00,B,1 MAY 26,250,92.60,M,96.25,X,<empty>,0,7.57%,92.43%,10 x 100,-.81,165.61%,.00,-.05,-.36,.08,2.265,92.16,0,0,129.31,,

8 MAY 26  (25)  100 (Weeklys)
,,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,Gamma,Rho,Theta,Vega,Extrinsic,Intrinsic,High,Low,Theo Price,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,Gamma,Rho,Theta,Vega,Extrinsic,Intrinsic,High,Low,Theo Price,,
,,<empty>,0,0.00%,100.00%,10 x 1,1.00,--,.00,.00,.00,.53,-1.84,82.84,0,0,<empty>,79.00,M,83.00,X,8 MAY 26,75,.01,N,.06,H,15,29,99.43%,0.57%,4 x 1,.00,106.95%,.00,.00,-.01,.00,.035,0,.11,.02,4.97,,
,,<empty>,0,0.00%,100.00%,2 x 1,1.00,--,.00,.00,.00,.66,-1.765,77.84,0,0,<empty>,74.10,J,78.05,Q,8 MAY 26,80,.01,D,2.13,J,20,21,91.84%,8.16%,4 x 448,-.03,162.43%,.00,.00,-.10,.03,1.07,0,.24,.02,16.52,,
,,<empty>,0,0.00%,100.00%,1 x 1,1.00,--,.00,.00,.00,.79,-1.74,72.84,0,0,<empty>,69.10,I,73.10,I,8 MAY 26,85,.01,D,1.07,C,41,22,94.97%,5.03%,4 x 1,-.02,131.11%,.00,.00,-.06,.02,.54,0,.24,.01,12.21,,
,,<empty>,0,0.00%,100.00%,1 x 1,1.00,--,.00,.00,.00,.92,-1.69,67.84,0,0,<empty>,64.15,H,68.15,H,8 MAY 26,90,.01,D,.25,C,11,29,98.27%,1.73%,4 x 85,-.01,96.40%,.00,.00,-.02,.01,.13,0,.11,.04,6.90,,
,,<empty>,5,0.00%,100.00%,10 x 1,1.00,--,.00,.00,.00,1.04,-1.64,62.84,0,0,<empty>,59.20,M,63.20,W,8 MAY 26,95,.01,C,.68,J,16,8,96.25%,3.75%,4 x 310,-.02,102.00%,.00,.00,-.04,.02,.345,0,.21,.01,9.50,,
,,1,17,0.00%,100.00%,10 x 2,1.00,--,.00,.00,.00,1.17,-1.615,57.84,54.01,54.01,<empty>,54.15,M,58.30,J,8 MAY 26,100,0,Q,.50,J,12,92,96.96%,3.04%,<empty>,-.02,88.18%,.00,.00,-.03,.02,.25,0,.31,.10,8.01,,
,,110,128,0.00%,100.00%,10 x 1,1.00,--,.00,.00,.00,1.30,-1.665,52.84,41.40,40.40,<empty>,49.05,M,53.30,I,8 MAY 26,105,0,T,.51,J,1,37,96.80%,3.20%,<empty>,-.02,80.15%,.00,.00,-.03,.02,.255,0,.30,.30,7.66,,
,,119,1,0.00%,100.00%,15 x 1,1.00,--,.00,.00,.00,1.43,-1.34,47.84,45.19,42.00,<empty>,44.60,S,48.40,H,8 MAY 26,110,.20,A,.60,C,110,76,95.34%,4.66%,100 x 1,-.03,78.05%,.00,.00,-.04,.03,.40,0,.60,.25,8.65,,
,,118,1,0.00%,100.00%,12 x 1,1.00,--,.00,.00,.00,1.55,-1.64,42.84,40.30,39.52,<empty>,39.60,M,42.80,W,8 MAY 26,115,.31,C,.58,C,101,183,94.71%,5.29%,83 x 79,-.04,71.30%,.00,.00,-.04,.03,.445,0,1.00,.38,8.49,,
,,138,3,0.00%,100.00%,15 x 15,1.00,--,.00,.00,.00,1.68,-1.415,37.84,35.40,22.90,<empty>,34.80,S,38.05,S,8 MAY 26,120,.52,C,.80,E,60,162,92.62%,7.38%,63 x 149,-.05,68.69%,.00,-.01,-.06,.04,.66,0,1.79,.62,9.39,,
,,138,10,0.00%,100.00%,15 x 15,1.00,--,.00,.00,.00,1.81,-1.09,32.84,30.78,19.59,<empty>,30.25,S,33.25,S,8 MAY 26,125,.90,N,1.25,J,135,660,89.15%,10.85%,3 x 268,-.08,68.01%,.01,-.01,-.08,.06,1.075,0,2.05,.97,10.94,,
,,13,16,0.00%,100.00%,15 x 15,1.00,--,.00,.00,.00,1.94,-.64,27.84,23.11,21.81,<empty>,25.65,S,28.75,S,8 MAY 26,130,1.29,C,1.58,S,249,324,86.07%,13.93%,151 x 107,-.11,64.24%,.01,-.01,-.10,.08,1.435,0,3.60,1.45,11.64,,
,,60,1,0.00%,100.00%,120 x 5,1.00,--,.00,.00,.00,1.96,-.39,26.84,23.65,19.50,<empty>,24.80,J,28.10,J,8 MAY 26,131,1.40,A,1.71,M,119,5,85.16%,14.84%,54 x 62,-.11,63.93%,.01,-.01,-.10,.08,1.555,0,2.34,1.67,11.93,,
,,<empty>,0,0.00%,100.00%,20 x 6,1.00,--,.00,.00,.00,1.99,-.165,25.84,0,0,<empty>,23.90,M,27.45,S,8 MAY 26,132,1.55,C,2.09,E,3,13,83.50%,16.50%,46 x 167,-.13,65.25%,.01,-.01,-.11,.09,1.82,0,1.93,1.68,12.75,,
,,<empty>,181,0.00%,100.00%,10 x 2,1.00,--,.00,.00,.00,2.01,-.015,24.84,0,0,<empty>,23.15,B,26.50,H,8 MAY 26,133,1.47,E,2.05,E,110,160,83.54%,16.46%,208 x 107,-.13,62.63%,.01,-.01,-.11,.09,1.76,0,3.33,2.07,12.30,,
,,<empty>,0,0.28%,99.72%,12 x 13,1.00,22.62%,.00,.09,-.01,.00,.21,23.84,0,0,26.27,22.40,J,25.70,S,8 MAY 26,134,1.67,A,2.23,A,10,30,82.28%,17.72%,219 x 221,-.14,62.85%,.01,-.02,-.11,.09,1.95,0,5.00,2.01,12.77,,
,,1,26,3.49%,96.51%,1 x 6,.97,32.61%,.00,.09,-.03,.03,.36,22.84,22.78,22.78,27.78,21.30,J,25.10,J,8 MAY 26,135,2.00,S,2.58,C,156,435,80.35%,19.65%,140 x 260,-.15,64.49%,.01,-.02,-.12,.10,2.29,0,5.44,2.14,13.73,,
,,12,13,0.00%,100.00%,143 x 47,1.00,0.04%,.00,.09,-.01,.00,.16,21.84,20.18,14.10,23.10,20.65,E,23.35,E,8 MAY 26,136,2.18,C,2.77,C,19,20,79.19%,20.81%,44 x 149,-.16,64.32%,.01,-.02,-.13,.10,2.475,0,3.82,2.67,14.09,,
,,32,16,3.15%,96.85%,137 x 79,.97,28.94%,.01,.09,-.02,.03,.335,20.84,20.35,12.00,25.30,19.75,A,22.60,A,8 MAY 26,137,2.28,A,3.00,A,10,22,78.12%,21.88%,54 x 93,-.17,63.86%,.01,-.02,-.13,.11,2.64,0,6.45,2.60,14.37,,
,,25,64,7.95%,92.05%,164 x 79,.93,35.81%,.01,.09,-.05,.05,.66,19.84,19.00,9.28,26.56,19.10,J,21.90,C,8 MAY 26,138,2.49,A,3.30,A,45,32,76.69%,23.31%,70 x 128,-.19,64.13%,.01,-.02,-.14,.11,2.895,0,5.06,3.10,14.89,,
,,8,19,8.45%,91.55%,188 x 93,.93,34.72%,.01,.09,-.05,.06,.685,18.84,15.76,11.79,25.55,18.20,C,20.85,C,8 MAY 26,139,2.75,C,3.45,C,29,30,75.48%,24.52%,46 x 186,-.20,63.83%,.01,-.02,-.14,.11,3.10,0,5.40,3.00,15.23,,
,,27,108,13.77%,86.23%,156 x 100,.88,40.73%,.01,.08,-.07,.08,1.21,17.84,19.00,9.00,26.82,18.05,C,20.05,C,8 MAY 26,140,2.85,C,3.95,J,66,196,73.94%,26.06%,119 x 202,-.21,64.24%,.01,-.02,-.15,.12,3.40,0,7.00,3.25,15.82,,
,,41,18,14.34%,85.66%,198 x 89,.88,39.29%,.01,.08,-.07,.08,1.235,16.84,17.50,8.50,25.71,16.75,J,19.40,C,8 MAY 26,141,3.20,P,3.70,E,12,12,73.26%,26.74%,48 x 138,-.22,62.46%,.01,-.03,-.15,.12,3.45,0,5.88,4.85,15.64,,
,,27,27,17.02%,82.98%,212 x 136,.85,40.88%,.01,.08,-.08,.09,1.535,15.84,16.93,9.80,25.63,16.05,J,18.70,C,8 MAY 26,142,3.40,S,4.00,E,1,66,71.90%,28.10%,38 x 31,-.23,62.26%,.01,-.03,-.15,.12,3.70,0,4.63,4.63,16.03,,
,,77,54,18.70%,81.30%,207 x 42,.84,40.82%,.01,.08,-.09,.10,1.71,14.84,15.60,7.60,25.01,15.35,J,17.75,C,8 MAY 26,143,3.60,E,4.40,A,37,18,70.38%,29.62%,94 x 152,-.24,62.36%,.01,-.03,-.16,.13,4.00,0,7.05,3.95,16.53,,
,,39,13,21.69%,78.31%,205 x 17,.81,42.69%,.02,.08,-.10,.11,2.11,13.84,15.56,7.50,25.07,14.85,J,17.05,E,8 MAY 26,144,3.90,E,4.80,E,38,70,68.76%,31.24%,52 x 140,-.26,62.71%,.01,-.03,-.17,.13,4.35,0,7.58,5.95,17.13,,
,,138,275,25.90%,74.10%,181 x 112,.78,46.85%,.02,.07,-.12,.12,2.835,12.84,14.85,5.87,26.00,15.05,E,16.30,E,8 MAY 26,145,4.25,M,4.95,E,300,104,67.43%,32.57%,87 x 110,-.27,62.20%,.01,-.03,-.17,.14,4.60,0,10.15,4.80,17.42,,
,,158,18,25.25%,74.75%,245 x 63,.78,42.28%,.02,.07,-.11,.12,2.535,11.84,13.66,5.45,23.77,13.30,J,15.45,P,8 MAY 26,146,4.60,S,5.25,E,18,7,65.91%,34.09%,117 x 255,-.28,62.15%,.01,-.03,-.17,.14,4.925,0,6.75,5.10,17.88,,
,,276,17,28.06%,71.94%,208 x 76,.76,43.72%,.02,.07,-.12,.13,2.985,10.84,12.87,5.75,23.75,12.70,J,14.95,S,8 MAY 26,147,4.85,C,5.65,C,61,1,64.40%,35.60%,152 x 167,-.30,61.99%,.01,-.03,-.18,.14,5.25,0,7.28,5.78,18.31,,
,,72,9,30.31%,69.69%,204 x 69,.74,44.16%,.02,.07,-.13,.13,3.335,9.84,12.17,5.13,23.36,12.05,J,14.30,C,8 MAY 26,148,5.25,E,6.15,E,48,15,62.65%,37.35%,130 x 223,-.31,62.58%,.01,-.04,-.18,.15,5.70,0,7.46,6.00,19.03,,
,,49,52,34.19%,65.81%,76 x 67,.70,48.30%,.02,.07,-.15,.14,4.235,8.84,11.38,7.00,24.39,12.60,C,13.55,A,8 MAY 26,149,5.60,E,6.40,E,8,0,61.23%,38.77%,112 x 140,-.33,62.04%,.01,-.04,-.18,.15,6.00,0,8.28,6.77,19.33,,
,,247,218,36.27%,63.73%,80 x 141,.68,48.62%,.02,.06,-.15,.15,4.635,7.84,12.57,3.39,23.99,12.00,E,12.95,E,8 MAY 26,150,6.05,A,6.60,S,112,137,59.76%,40.24%,443 x 72,-.34,61.57%,.01,-.04,-.18,.15,6.325,0,10.33,6.30,19.67,,
,,43,166,40.99%,59.01%,451 x 427,.64,47.66%,.02,.06,-.15,.15,5.46,5.34,11.15,3.30,22.38,10.15,A,11.45,A,8 MAY 26,152.5,7.10,E,7.85,E,359,24,55.62%,44.38%,139 x 205,-.38,62.18%,.01,-.04,-.19,.16,7.475,0,11.23,7.60,21.20,,
,,225,286,46.44%,53.56%,162 x 180,.59,49.42%,.02,.06,-.17,.16,6.835,2.84,9.72,2.75,21.88,9.25,C,10.10,C,8 MAY 26,155,8.05,E,9.25,E,28,15,51.62%,48.38%,63 x 272,-.42,62.29%,.02,-.05,-.20,.16,8.65,0,13.50,8.50,22.59,,
,,93,24,51.43%,48.57%,448 x 501,.54,50.03%,.02,.05,-.17,.16,8.16,.34,8.85,2.10,20.98,7.75,A,9.25,A,8 MAY 26,157.5,9.45,E,10.60,E,<empty>,3,47.65%,52.35%,94 x 92,-.46,63.01%,.02,-.05,-.20,.16,10.025,0,0,0,24.26,,
,,"1,161","2,580",56.19%,43.81%,8 x 380,.49,51.56%,.02,.05,-.18,.16,7.60,0,7.45,1.81,20.50,7.20,J,8.00,A,8 MAY 26,160,10.80,S,11.90,E,2,73,43.86%,56.14%,106 x 100,-.50,62.83%,.02,-.06,-.20,.16,9.19,2.16,13.93,12.43,25.62,,
,,"2,665",29,60.92%,39.08%,383 x 258,.44,49.32%,.02,.04,-.17,.16,6.20,0,6.40,.99,18.57,5.50,J,6.90,C,8 MAY 26,162.5,12.35,E,13.35,E,1,1,40.18%,59.82%,115 x 104,-.53,63.15%,.02,-.06,-.20,.16,8.19,4.66,13.81,13.81,27.21,,
,,162,515,65.13%,34.87%,53 x 8,.40,50.69%,.02,.04,-.17,.16,5.50,0,5.47,1.92,18.13,5.35,P,5.65,Z,8 MAY 26,165,13.70,C,15.05,C,11,12,36.63%,63.37%,122 x 152,-.57,63.07%,.02,-.06,-.20,.16,7.215,7.16,19.20,16.50,28.68,,
,,231,241,69.45%,30.55%,161 x 108,.35,49.83%,.02,.03,-.16,.15,4.55,0,4.35,1.79,16.83,4.05,C,5.05,C,8 MAY 26,167.5,15.60,C,16.55,C,1,1,33.33%,66.67%,117 x 53,-.60,63.54%,.01,-.07,-.20,.16,6.415,9.66,16.15,16.15,30.40,,
,,345,"2,829",73.13%,26.87%,279 x 36,.31,50.44%,.02,.03,-.15,.15,3.925,0,4.00,.79,16.17,3.50,J,4.35,S,8 MAY 26,170,17.30,B,18.40,S,<empty>,12,30.23%,69.77%,22 x 8,-.64,64.00%,.01,-.07,-.19,.15,5.69,12.16,0,0,32.16,,
,,160,82,79.37%,20.63%,282 x 74,.25,51.73%,.01,.02,-.14,.13,2.925,0,3.00,.57,14.99,2.60,E,3.25,P,8 MAY 26,175,21.00,B,23.70,E,6,8,25.88%,74.12%,22 x 144,-.68,70.00%,.01,-.07,-.20,.15,5.19,17.16,26.38,23.00,37.81,,
,,303,459,83.73%,16.27%,1 x 171,.20,54.46%,.01,.02,-.13,.12,2.345,0,2.21,.47,14.54,2.20,N,2.49,E,8 MAY 26,180,25.15,N,28.25,H,<empty>,10,22.10%,77.90%,1 x 1,-.72,73.90%,.01,-.08,-.20,.14,4.54,22.16,0,0,42.72,,
,,397,8,87.83%,12.17%,6 x 191,.15,54.98%,.01,.02,-.11,.10,1.695,0,1.64,.50,13.33,1.54,J,1.85,A,8 MAY 26,185,29.65,N,32.65,J,<empty>,0,19.02%,80.98%,1 x 1,-.75,77.55%,.01,-.08,-.19,.13,3.99,27.16,0,0,47.63,,
,,122,12,90.90%,9.10%,34 x 42,.12,55.79%,.01,.01,-.09,.08,1.24,0,1.24,.25,12.34,1.12,A,1.36,C,8 MAY 26,190,34.10,P,37.20,P,<empty>,0,16.43%,83.57%,2 x 4,-.77,80.76%,.01,-.08,-.19,.12,3.49,32.16,0,0,52.44,,
,,323,24,93.34%,6.66%,148 x 127,.09,56.27%,.01,.01,-.07,.07,.885,0,.85,.15,11.34,.77,S,1.00,N,8 MAY 26,195,38.80,M,42.05,J,<empty>,0,14.69%,85.31%,12 x 1,-.79,85.65%,.01,-.08,-.19,.12,3.265,37.16,0,0,57.98,,
,,404,10,95.23%,4.77%,317 x 5,.06,56.48%,.01,.01,-.06,.05,.615,0,.68,.33,10.33,.47,J,.76,J,8 MAY 26,200,43.55,M,46.80,H,<empty>,1,13.16%,86.84%,12 x 1,-.80,89.92%,.01,-.08,-.19,.11,3.015,42.16,0,0,63.33,,
,,<empty>,0,97.42%,2.58%,219 x 1,.04,52.99%,.00,.00,-.03,.03,.29,0,0,0,8.12,.02,X,.56,D,8 MAY 26,205,48.20,M,51.45,J,<empty>,0,11.65%,88.35%,12 x 1,-.82,92.89%,.01,-.08,-.19,.10,2.665,47.16,0,0,68.21,,
,,<empty>,56,97.03%,2.97%,10 x 1,.04,60.20%,.00,.00,-.04,.04,.40,0,0,0,9.73,.10,A,.70,N,8 MAY 26,210,53.35,P,56.35,J,<empty>,0,11.02%,88.98%,3 x 2,-.82,99.20%,.01,-.08,-.20,.10,2.69,52.16,0,0,74.43,,
,,<empty>,0,94.27%,5.73%,<empty>,.09,79.92%,.00,.01,-.10,.06,1.19,0,0,0,16.09,0,W,2.38,H,8 MAY 26,215,58.35,J,61.30,J,<empty>,0,10.40%,89.60%,1 x 2,-.82,104.91%,.00,-.08,-.20,.10,2.665,57.16,0,0,80.45,,

15 MAY 26  (32)  100
,,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,Gamma,Rho,Theta,Vega,Extrinsic,Intrinsic,High,Low,Theo Price,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,Gamma,Rho,Theta,Vega,Extrinsic,Intrinsic,High,Low,Theo Price,,
,,<empty>,0,0.00%,100.00%,106 x 106,1.00,--,.00,.00,.00,.68,-2.065,82.84,0,0,<empty>,79.15,X,82.40,X,15 MAY 26,75,.01,C,.03,N,113,747,99.64%,0.36%,10 x 4,.00,89.45%,.00,.00,.00,.00,.02,0,.13,.02,2.93,,
,,<empty>,1,0.00%,100.00%,102 x 102,1.00,--,.00,.00,.00,.84,-2.215,77.84,0,0,<empty>,74.15,X,77.10,X,15 MAY 26,80,.01,N,.25,J,145,131,98.33%,1.67%,10 x 820,-.01,101.31%,.00,.00,-.01,.01,.13,0,.15,.03,5.61,,
,,<empty>,6,0.00%,100.00%,106 x 125,1.00,--,.00,.00,.00,1.01,-1.89,72.84,0,0,<empty>,69.25,X,72.65,X,15 MAY 26,85,.01,I,.18,J,14,139,98.68%,1.32%,1 x 315,-.01,89.36%,.00,.00,-.01,.01,.095,0,.20,.05,4.80,,
,,<empty>,14,0.00%,100.00%,106 x 1,1.00,--,.00,.00,.00,1.17,-2.14,67.84,0,0,<empty>,64.25,X,67.15,M,15 MAY 26,90,.04,E,.08,X,260,"1,443",99.07%,0.93%,149 x 106,.00,77.36%,.00,.00,-.01,.01,.06,0,.24,.06,3.87,,
,,<empty>,80,0.00%,100.00%,106 x 106,1.00,--,.00,.00,.00,1.34,-2.14,62.84,0,0,<empty>,59.30,X,62.10,X,15 MAY 26,95,.05,N,.31,J,50,"1,053",97.71%,2.29%,"5 x 1,009",-.01,81.47%,.00,.00,-.02,.02,.18,0,.29,.10,5.68,,
,,42,"3,153",0.00%,100.00%,817 x 271,1.00,--,.00,.00,.00,1.50,-2.04,57.84,53.99,44.65,<empty>,54.50,J,57.10,X,15 MAY 26,100,.15,X,.21,X,143,"4,630",97.63%,2.37%,71 x 82,-.01,74.15%,.00,.00,-.02,.02,.18,0,.45,.16,5.42,,
,,1,60,0.00%,100.00%,105 x 105,1.00,--,.00,.00,.00,1.66,-1.69,52.84,48.08,48.08,<empty>,49.50,N,52.80,N,15 MAY 26,105,.20,X,.32,J,233,"1,524",96.75%,3.25%,108 x 729,-.02,71.10%,.00,.00,-.02,.02,.26,0,.57,.22,5.99,,
,,9,58,0.00%,100.00%,12 x 62,1.00,--,.00,.00,.00,1.83,-1.265,47.84,46.40,35.00,<empty>,46.05,M,47.10,S,15 MAY 26,110,.35,S,.41,T,868,"3,398",95.51%,4.49%,12 x 24,-.03,68.39%,.00,.00,-.03,.03,.38,0,1.02,.39,6.68,,
,,1,167,0.00%,100.00%,551 x 162,1.00,--,.00,.00,.00,1.99,-1.515,42.84,36.45,36.45,<empty>,40.15,J,42.50,X,15 MAY 26,115,.57,X,.63,J,327,"2,504",93.48%,6.52%,65 x 5,-.04,66.97%,.00,-.01,-.04,.04,.60,0,1.49,.57,7.75,,
,,450,487,0.00%,100.00%,209 x 238,1.00,--,.00,.00,.00,2.15,-.765,37.84,36.35,23.17,<empty>,36.45,A,37.70,X,15 MAY 26,120,.87,E,.93,C,"1,069","11,884",90.93%,9.07%,149 x 43,-.06,65.26%,.00,-.01,-.06,.06,.90,0,2.25,.89,8.83,,
,,53,276,0.00%,100.00%,128 x 281,1.00,--,.00,.00,.00,2.32,-.04,32.84,31.40,18.77,<empty>,31.90,E,33.70,A,15 MAY 26,125,1.29,A,1.36,B,"1,969","4,232",87.65%,12.35%,130 x 42,-.09,63.66%,.01,-.01,-.07,.08,1.325,0,3.60,1.32,10.05,,
,,286,483,0.42%,99.58%,362 x 322,1.00,24.84%,.00,.11,-.01,.00,.26,27.84,28.24,15.30,30.24,27.60,A,28.60,A,15 MAY 26,130,1.89,A,2.02,S,"2,568","4,186",83.35%,16.65%,335 x 150,-.12,62.60%,.01,-.02,-.09,.10,1.955,0,4.55,1.90,11.55,,
,,305,"1,469",13.66%,86.34%,190 x 362,.89,46.08%,.01,.10,-.07,.09,1.46,22.84,24.05,11.66,32.12,23.60,X,25.00,X,15 MAY 26,135,2.63,A,2.83,S,"1,552","4,925",78.51%,21.49%,390 x 46,-.17,60.98%,.01,-.02,-.11,.12,2.73,0,6.30,2.74,12.99,,
,,584,"3,343",20.20%,79.80%,411 x 402,.83,45.80%,.01,.10,-.09,.12,2.285,17.84,20.16,8.95,28.92,19.80,A,20.45,A,15 MAY 26,140,3.80,A,4.00,E,"2,766","9,798",72.33%,27.67%,149 x 152,-.22,60.56%,.01,-.03,-.13,.14,3.90,0,9.05,3.90,14.98,,
,,"1,677","3,327",29.49%,70.51%,2 x 90,.75,48.24%,.01,.09,-.12,.15,3.86,12.84,16.50,6.60,26.93,16.50,J,16.90,A,15 MAY 26,145,5.20,A,5.45,B,"1,234","4,835",65.70%,34.30%,432 x 10,-.28,59.76%,.01,-.04,-.14,.16,5.325,0,10.70,5.32,16.99,,
,,"4,206","4,058",38.42%,61.58%,201 x 399,.67,48.98%,.02,.08,-.14,.17,5.685,7.84,13.70,4.88,24.58,13.35,C,13.70,A,15 MAY 26,150,7.05,A,7.35,S,"3,986","6,080",58.44%,41.56%,475 x 73,-.35,59.66%,.01,-.05,-.16,.17,7.20,0,14.35,7.15,19.42,,
,,"6,558","9,462",47.29%,52.71%,247 x 145,.58,48.97%,.02,.07,-.15,.18,7.835,2.84,10.85,3.45,22.16,10.45,E,10.90,E,15 MAY 26,155,9.30,E,9.70,E,769,"2,902",51.05%,48.95%,147 x 198,-.42,59.89%,.01,-.06,-.17,.18,9.50,0,17.85,9.60,22.15,,
,,"4,685","6,179",56.01%,43.99%,2 x 379,.50,50.36%,.02,.06,-.15,.19,8.525,0,8.65,2.20,20.51,8.45,Z,8.60,A,15 MAY 26,160,12.00,C,12.40,E,201,"2,154",43.91%,56.09%,120 x 130,-.49,60.31%,.01,-.07,-.17,.19,10.04,2.16,21.82,12.28,25.12,,
,,"4,211","5,123",63.91%,36.09%,384 x 414,.42,50.86%,.02,.05,-.15,.18,6.625,0,6.60,1.70,18.68,6.50,A,6.75,A,15 MAY 26,165,14.90,X,16.10,X,40,"2,262",37.38%,62.62%,118 x 376,-.56,62.11%,.01,-.08,-.17,.18,8.34,7.16,26.09,15.40,28.81,,
,,"5,697","9,577",70.90%,29.10%,19 x 412,.34,51.40%,.02,.04,-.14,.17,5.10,0,5.20,1.15,17.05,5.00,J,5.20,A,15 MAY 26,170,18.40,C,19.60,X,123,"4,630",31.61%,68.39%,116 x 352,-.61,63.36%,.01,-.09,-.17,.18,6.84,12.16,30.62,19.19,32.43,,
,,"4,444","5,595",76.93%,23.07%,402 x 346,.28,51.83%,.01,.04,-.13,.16,3.875,0,3.90,.78,15.53,3.75,A,4.00,A,15 MAY 26,175,22.00,X,23.60,A,44,"2,364",26.66%,73.34%,92 x 343,-.67,64.86%,.01,-.09,-.16,.17,5.64,17.16,35.16,24.00,36.29,,
,,"4,216","6,309",81.95%,18.05%,5 x 5,.22,52.31%,.01,.03,-.12,.14,2.925,0,2.98,.57,14.18,2.90,D,2.95,D,15 MAY 26,180,26.30,S,28.40,A,87,"2,039",23.26%,76.74%,119 x 338,-.70,69.73%,.01,-.10,-.17,.16,5.19,22.16,40.28,27.30,41.64,,
,,"1,638","3,931",86.07%,13.93%,281 x 102,.18,52.71%,.01,.02,-.10,.12,2.185,0,2.24,.39,12.93,2.13,A,2.24,X,15 MAY 26,185,30.15,A,32.70,A,<empty>,487,19.66%,80.34%,168 x 269,-.74,70.76%,.01,-.10,-.16,.15,4.265,27.16,0,0,45.51,,
,,"1,208","4,365",89.12%,10.88%,407 x 433,.14,53.78%,.01,.02,-.09,.10,1.69,0,1.70,.50,12.06,1.62,A,1.76,A,15 MAY 26,190,34.80,C,37.20,A,26,290,17.24%,82.76%,141 x 282,-.76,74.29%,.01,-.10,-.16,.14,3.84,32.16,41.20,36.60,50.49,,
,,"1,160","2,973",91.63%,8.37%,170 x 43,.11,54.48%,.01,.01,-.08,.09,1.28,0,1.26,.33,11.15,1.22,E,1.34,C,15 MAY 26,195,39.50,C,42.05,A,<empty>,112,15.49%,84.51%,26 x 257,-.78,78.75%,.01,-.10,-.16,.14,3.615,37.16,0,0,55.91,,
,,"11,186","9,822",93.54%,6.46%,2 x 691,.09,55.31%,.01,.01,-.06,.07,.98,0,1.01,.17,10.38,.97,D,.99,N,15 MAY 26,200,44.05,A,45.50,A,14,455,12.53%,87.47%,247 x 265,-.81,76.67%,.01,-.10,-.14,.12,2.615,42.16,56.23,46.50,58.77,,
,,728,"3,703",95.95%,4.05%,62 x 164,.06,57.81%,.00,.01,-.05,.05,.625,0,.62,.10,9.37,.58,C,.67,E,15 MAY 26,210,53.85,A,56.40,J,1,61,11.63%,88.37%,140 x 148,-.81,90.49%,.01,-.10,-.16,.12,2.965,52.16,55.82,55.82,71.79,,
,,"2,022","7,493",97.66%,2.34%,1 x 1,.03,58.74%,.00,.00,-.03,.04,.355,0,.39,.07,8.06,.31,X,.40,N,15 MAY 26,220,63.70,X,66.20,X,13,518,10.22%,89.78%,260 x 271,-.82,99.52%,.00,-.10,-.17,.11,2.79,62.16,71.65,66.65,83.02,,
,,11,"2,006",98.28%,1.72%,102 x 102,.03,62.64%,.00,.00,-.03,.03,.28,0,.26,.07,7.93,.22,S,.34,S,15 MAY 26,230,73.20,N,76.15,N,<empty>,9,9.03%,90.97%,105 x 105,-.82,107.31%,.00,-.09,-.18,.11,2.515,72.16,0,0,93.85,,
,,44,"2,047",98.84%,1.16%,26 x 110,.02,64.90%,.00,.00,-.02,.02,.195,0,.19,.05,7.38,.17,P,.22,S,15 MAY 26,240,83.40,J,86.25,J,79,147,8.64%,91.36%,302 x 256,-.81,118.78%,.00,-.09,-.20,.11,2.665,82.16,93.37,84.55,106.18,,
