Stock quote and option quote for ORCL on 4/13/26 17:55:59

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
155.62,N,+17.53,157.84,K,158.00,U,80 x 200,"49,717,498",139.77,155.91,139.72

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
0,1.29%,27.94,.5,Q,4/9/26,345.72,121.235,"2,876,046,000",custom expression subscription limit exceeded

Theo parameters
Theo date,Theo stock price,Theo volatility
4/13/26, 0.00$, 0.00%

17 APR 26  (4)  100
,,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,Gamma,Rho,Theta,Vega,Extrinsic,Intrinsic,High,Low,Theo Price,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,Gamma,Rho,Theta,Vega,Extrinsic,Intrinsic,High,Low,Theo Price,,
,,86,113,0.00%,100.00%,410 x 10,1.00,--,.00,.00,.00,.28,-2.965,32.84,28.78,15.50,<empty>,28.90,J,30.85,B,17 APR 26,125,.01,C,.04,C,875,"8,544",99.31%,0.69%,65 x 102,-.01,90.14%,.00,.00,-.02,.00,.025,0,.35,.02,15.82,,
,,16,3,0.00%,100.00%,133 x 100,1.00,--,.00,.00,.00,.29,-2.515,31.84,22.48,17.85,<empty>,27.95,A,30.70,Q,17 APR 26,126,.02,N,.07,N,237,357,98.88%,1.12%,55 x 8,-.01,93.72%,.00,.00,-.03,.00,.045,0,.39,.04,17.30,,
,,19,1,0.00%,100.00%,133 x 7,1.00,--,.00,.00,.00,.29,-2.69,30.84,25.70,17.05,<empty>,26.95,A,29.35,J,17 APR 26,127,.03,Z,.13,J,254,416,98.22%,1.78%,2 x 467,-.01,98.04%,.00,.00,-.06,.01,.08,0,.48,.03,19.03,,
,,85,23,0.00%,100.00%,186 x 108,1.00,--,.00,.00,.00,.29,-2.565,29.84,24.72,12.65,<empty>,25.95,J,28.60,X,17 APR 26,128,.03,T,.05,T,326,660,98.93%,1.07%,172 x 153,-.01,86.65%,.00,.00,-.03,.00,.04,0,.51,.04,16.08,,
,,9,9,0.00%,100.00%,211 x 115,1.00,--,.00,.00,.00,.30,-2.565,28.84,24.25,11.82,<empty>,24.95,J,27.60,A,17 APR 26,129,0,T,.07,C,"1,772",787,99.03%,0.97%,<empty>,-.01,82.30%,.00,.00,-.03,.00,.035,0,.77,.05,15.21,,
,,485,"1,896",0.00%,100.00%,436 x 85,1.00,--,.00,.00,.00,.30,-2.465,27.84,25.35,10.89,<empty>,24.50,J,26.25,E,17 APR 26,130,.05,N,.07,A,"2,860","6,443",98.48%,1.52%,189 x 206,-.01,85.27%,.00,.00,-.04,.01,.06,0,.92,.05,16.54,,
,,16,26,0.00%,100.00%,234 x 30,1.00,--,.00,.00,.00,.31,-2.665,26.84,24.05,10.16,<empty>,22.95,J,25.40,B,17 APR 26,131,.06,T,.08,C,"1,559",510,98.24%,1.76%,150 x 135,-.01,84.13%,.00,.00,-.05,.01,.07,0,.85,.07,16.63,,
,,7,9,0.00%,100.00%,213 x 15,1.00,--,.00,.00,.00,.31,-2.64,25.84,21.27,12.04,<empty>,22.00,J,24.40,C,17 APR 26,132,.08,J,.27,J,555,575,96.43%,3.57%,1 x 599,-.03,93.76%,.00,.00,-.11,.01,.175,0,1.03,.10,20.06,,
,,57,59,0.00%,100.00%,273 x 20,1.00,--,.00,.00,.00,.31,-2.74,24.84,22.40,9.00,<empty>,21.00,J,23.20,B,17 APR 26,133,.10,J,.15,C,954,938,97.14%,2.86%,10 x 108,-.02,85.42%,.00,.00,-.08,.01,.125,0,1.21,.12,17.92,,
,,22,14,0.00%,100.00%,229 x 40,1.00,--,.00,.00,.00,.32,-2.64,23.84,21.00,9.15,<empty>,20.00,J,22.40,B,17 APR 26,134,.11,J,.12,C,312,475,97.24%,2.76%,1 x 30,-.02,81.12%,.00,.00,-.07,.01,.115,0,1.35,.12,17.03,,
,,275,"2,704",0.00%,100.00%,462 x 111,1.00,--,.00,.00,.00,.32,-2.19,22.84,20.49,6.76,<empty>,20.05,J,21.25,X,17 APR 26,135,.12,Q,.15,C,"2,759","6,653",96.81%,3.19%,572 x 163,-.03,80.09%,.00,.00,-.08,.01,.135,0,2.18,.11,17.16,,
,,190,521,0.00%,100.00%,"1,205 x 112",1.00,--,.00,.00,.00,.33,-1.965,21.84,19.30,6.10,<empty>,19.30,B,20.45,X,17 APR 26,136,.15,T,.18,E,664,"1,917",96.20%,3.80%,128 x 55,-.03,79.64%,.01,.00,-.10,.01,.165,0,2.04,.15,17.47,,
,,325,788,0.00%,100.00%,352 x 70,1.00,--,.00,.00,.00,.33,-2.29,20.84,18.08,5.30,<empty>,17.85,J,19.25,A,17 APR 26,137,.16,A,.21,J,"2,003",969,95.76%,4.24%,146 x 6,-.04,77.98%,.01,.00,-.11,.01,.185,0,2.48,.20,17.40,,
,,"1,179",902,0.00%,100.00%,198 x 103,1.00,--,.00,.00,.00,.33,-1.915,19.84,17.20,4.62,<empty>,17.50,J,18.35,J,17 APR 26,138,.19,A,.25,X,"1,302","3,949",95.06%,4.94%,134 x 111,-.04,77.18%,.01,.00,-.12,.01,.22,0,2.66,.19,17.60,,
,,340,"1,486",0.00%,100.00%,454 x 82,1.00,--,.00,.00,.00,.34,-2.29,18.84,16.19,4.05,<empty>,15.85,J,17.25,X,17 APR 26,139,.27,Q,.30,S,763,948,93.90%,6.10%,81 x 56,-.05,77.81%,.01,.00,-.15,.02,.285,0,3.30,.27,18.27,,
,,"3,302","5,102",0.00%,100.00%,270 x 95,1.00,--,.00,.00,.00,.34,-1.765,17.84,16.03,3.50,<empty>,15.70,J,16.45,A,17 APR 26,140,.33,Q,.35,N,"5,054","8,758",92.91%,7.09%,76 x 62,-.06,77.22%,.01,.00,-.17,.02,.34,0,3.78,.32,18.56,,
,,948,963,0.00%,100.00%,271 x 104,1.00,--,.00,.00,.00,.35,-1.74,16.84,15.00,2.72,<empty>,14.70,J,15.50,C,17 APR 26,141,.37,E,.42,C,"1,119",436,91.91%,8.09%,112 x 53,-.07,76.21%,.01,.00,-.20,.02,.395,0,3.85,.40,18.70,,
,,"1,915","1,296",0.00%,100.00%,241 x 225,1.00,--,.00,.00,.00,.35,-1.44,15.84,14.00,2.58,<empty>,13.85,J,14.95,A,17 APR 26,142,.46,C,.51,P,"4,870",614,90.45%,9.55%,70 x 56,-.08,76.30%,.01,.00,-.23,.02,.485,0,4.40,.47,19.21,,
,,"2,338","2,284",0.00%,100.00%,87 x 52,1.00,--,.00,.00,.00,.35,-1.515,14.84,13.48,2.15,<empty>,13.20,C,13.45,C,17 APR 26,143,.56,M,.60,S,"3,542",542,88.94%,11.06%,36 x 31,-.10,76.00%,.01,.00,-.26,.03,.58,0,5.64,.56,19.60,,
,,"2,342","1,572",0.00%,100.00%,10 x 10,1.00,--,.00,.00,.00,.36,-1.39,13.84,12.35,1.89,<empty>,12.35,B,12.55,P,17 APR 26,144,.67,M,.71,S,"1,456",665,87.27%,12.73%,42 x 40,-.11,75.70%,.02,.00,-.29,.03,.69,0,5.00,.65,19.99,,
,,"10,697","7,473",0.00%,100.00%,46 x 121,1.00,--,.00,.00,.00,.36,-1.14,12.84,11.63,1.49,<empty>,11.45,C,11.95,C,17 APR 26,145,.80,P,.83,B,"6,827","5,420",85.44%,14.56%,38 x 10,-.13,75.36%,.02,.00,-.32,.03,.815,0,6.55,.79,20.38,,
,,"4,035","5,188",0.00%,100.00%,101 x 169,1.00,--,.00,.00,.00,.37,-1.015,11.84,10.75,1.22,<empty>,10.60,A,11.05,C,17 APR 26,146,.94,A,.99,S,"3,571",665,83.39%,16.61%,100 x 21,-.15,75.20%,.02,.00,-.36,.04,.965,0,6.15,.94,20.83,,
,,"2,854","2,051",0.00%,100.00%,69 x 126,1.00,--,.00,.00,.00,.37,-.865,10.84,9.60,1.04,<empty>,9.75,A,10.20,T,17 APR 26,147,1.09,C,1.18,J,"1,863",322,81.16%,18.84%,104 x 20,-.17,75.02%,.02,.00,-.40,.04,1.135,0,7.95,1.11,21.27,,
,,"2,511","1,501",0.00%,100.00%,111 x 158,1.00,--,.00,.00,.00,.37,-.665,9.84,9.30,.77,<empty>,9.00,Q,9.35,A,17 APR 26,148,1.30,X,1.38,B,"2,694",487,78.67%,21.33%,75 x 31,-.19,75.12%,.02,.00,-.43,.04,1.34,0,9.13,1.30,21.83,,
,,"3,924","1,898",0.00%,100.00%,35 x 113,1.00,--,.00,.00,.00,.38,-.415,8.84,8.35,.66,<empty>,8.25,A,8.60,C,17 APR 26,149,1.55,C,1.62,S,"2,768",325,75.93%,24.07%,81 x 23,-.22,75.52%,.02,.00,-.48,.05,1.585,0,9.27,1.52,22.49,,
