Stock quote and option quote for AMZN on 4/10/26 07:31:41

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
233.65,Q,0,234.00,Q,234.10,P,900 x 500,"668,709",0,0,0

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
0,<empty>,32.59,<empty>,--,,258.60,165.285,"10,754,251,799",1.85

10 APR 26  (0)  100 (Weeklys)
,,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,,
,,<empty>,105,99.57%,0.43%,<empty>,.01,58.10%,0, ,.10, ,24 APR 26,315,80.60, ,83.50, ,<empty>,0,6.17%,93.83%,<empty>,-.88,103.92%,,
,,<empty>,4,98.86%,1.14%,<empty>,.02,71.31%,0, ,.37, ,24 APR 26,320,85.60, ,88.50, ,<empty>,0,6.05%,93.95%,<empty>,-.88,109.06%,,

1 MAY 26  (21)  100 (Weeklys)
,,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,,
,,<empty>,45,0.00%,100.00%,<empty>,1.00,--,112.20, ,115.60, ,1 MAY 26,120,0, ,.15, ,<empty>,12,99.22%,0.78%,<empty>,.00,108.79%,,
,,<empty>,11,0.00%,100.00%,<empty>,1.00,--,106.65, ,110.65, ,1 MAY 26,125,0, ,.26, ,<empty>,67,98.76%,1.24%,<empty>,-.01,109.50%,,
,,<empty>,0,0.00%,100.00%,<empty>,1.00,--,101.70, ,105.30, ,1 MAY 26,130,0, ,.18, ,<empty>,56,99.07%,0.93%,<empty>,.00,98.74%,,
,,<empty>,0,0.00%,100.00%,<empty>,1.00,--,96.70, ,100.70, ,1 MAY 26,135,0, ,.10, ,<empty>,53,99.42%,0.58%,<empty>,.00,87.03%,,
,,<empty>,3,0.00%,100.00%,<empty>,1.00,--,91.75, ,95.35, ,1 MAY 26,140,.01, ,.09, ,<empty>,"1,209",99.40%,0.60%,<empty>,.00,81.78%,,
,,<empty>,6,0.00%,100.00%,<empty>,1.00,--,86.75, ,90.75, ,1 MAY 26,145,.07, ,.14, ,<empty>,317,98.88%,1.12%,<empty>,-.01,83.44%,,
,,<empty>,3,0.00%,100.00%,<empty>,1.00,--,81.95, ,85.50, ,1 MAY 26,150,.10, ,.17, ,<empty>,299,98.60%,1.40%,<empty>,-.01,80.62%,,
,,<empty>,1,0.00%,100.00%,<empty>,1.00,--,76.85, ,80.45, ,1 MAY 26,155,.05, ,.20, ,<empty>,103,98.64%,1.36%,<empty>,-.01,74.53%,,
,,<empty>,0,0.00%,100.00%,<empty>,1.00,--,71.90, ,75.50, ,1 MAY 26,160,.11, ,.24, ,<empty>,797,98.18%,1.82%,<empty>,-.01,72.61%,,
,,<empty>,4,0.00%,100.00%,<empty>,1.00,--,67.00, ,70.65, ,1 MAY 26,165,.20, ,.32, ,<empty>,"1,087",97.44%,2.56%,<empty>,-.02,71.46%,,
,,<empty>,57,0.00%,100.00%,<empty>,1.00,0.00%,62.65, ,65.80, ,1 MAY 26,170,.26, ,.35, ,<empty>,585,97.00%,3.00%,<empty>,-.02,67.83%,,
,,<empty>,32,1.25%,98.75%,<empty>,.99,52.55%,57.80, ,61.15, ,1 MAY 26,175,.36, ,.47, ,<empty>,602,96.07%,3.93%,<empty>,-.03,65.88%,,
,,<empty>,68,2.67%,97.33%,<empty>,.98,54.81%,52.95, ,56.30, ,1 MAY 26,180,.50, ,.59, ,<empty>,958,95.00%,5.00%,<empty>,-.04,63.59%,,
,,<empty>,68,2.49%,97.51%,<empty>,.98,48.58%,47.70, ,51.50, ,1 MAY 26,185,.70, ,.77, ,<empty>,"1,015",93.52%,6.48%,<empty>,-.05,61.71%,,
,,<empty>,229,2.80%,97.20%,<empty>,.98,44.33%,43.35, ,45.90, ,1 MAY 26,190,.92, ,.99, ,<empty>,"1,622",91.84%,8.16%,<empty>,-.06,59.42%,,
,,<empty>,83,3.65%,96.35%,<empty>,.97,41.45%,38.30, ,41.10, ,1 MAY 26,195,1.13, ,1.30, ,<empty>,911,89.87%,10.13%,<empty>,-.08,56.86%,,
,,<empty>,207,10.68%,89.32%,<empty>,.91,50.51%,34.45, ,36.80, ,1 MAY 26,200,1.60, ,1.70, ,<empty>,"3,715",86.95%,13.05%,<empty>,-.10,55.34%,,
,,<empty>,807,12.65%,87.35%,<empty>,.90,46.41%,29.65, ,32.00, ,1 MAY 26,205,2.10, ,2.24, ,<empty>,799,83.58%,16.42%,<empty>,-.13,53.44%,,
,,<empty>,"2,855",19.57%,80.43%,<empty>,.84,49.82%,26.55, ,27.55, ,1 MAY 26,210,2.75, ,2.92, ,<empty>,"4,763",79.51%,20.49%,<empty>,-.17,51.54%,,
,,<empty>,"3,503",24.94%,75.06%,<empty>,.79,48.88%,22.50, ,23.55, ,1 MAY 26,215,3.70, ,3.90, ,<empty>,621,74.32%,25.68%,<empty>,-.22,50.35%,,
,,<empty>,"3,591",30.99%,69.01%,<empty>,.73,47.73%,18.75, ,19.70, ,1 MAY 26,220,4.90, ,5.10, ,<empty>,"1,045",68.42%,31.58%,<empty>,-.28,49.08%,,
,,<empty>,"4,442",37.52%,62.48%,<empty>,.67,45.87%,15.25, ,15.90, ,1 MAY 26,225,6.40, ,6.70, ,<empty>,642,61.72%,38.28%,<empty>,-.34,48.11%,,
,,<empty>,"4,514",45.11%,54.89%,<empty>,.59,45.30%,12.30, ,12.75, ,1 MAY 26,230,8.25, ,8.50, ,<empty>,392,54.58%,45.42%,<empty>,-.41,46.87%,,
,,<empty>,"3,928",52.91%,47.09%,<empty>,.51,44.38%,9.55, ,10.00, ,1 MAY 26,235,10.40, ,11.05, ,<empty>,103,47.03%,52.97%,<empty>,-.49,46.38%,,
,,<empty>,"6,562",60.66%,39.34%,<empty>,.43,44.07%,7.40, ,7.70, ,1 MAY 26,240,13.05, ,13.95, ,<empty>,103,39.62%,60.38%,<empty>,-.56,46.11%,,
,,<empty>,"2,583",67.90%,32.10%,<empty>,.36,43.98%,5.50, ,6.00, ,1 MAY 26,245,15.95, ,18.20, ,<empty>,28,33.14%,66.86%,<empty>,-.63,47.87%,,
,,<empty>,"3,256",74.83%,25.17%,<empty>,.29,42.87%,4.00, ,4.20, ,1 MAY 26,250,19.25, ,21.95, ,<empty>,10,27.11%,72.89%,<empty>,-.69,47.98%,,
,,<empty>,"1,068",80.55%,19.45%,<empty>,.22,42.81%,2.81, ,3.15, ,1 MAY 26,255,23.30, ,25.45, ,<empty>,1,21.72%,78.28%,<empty>,-.75,47.90%,,
,,<empty>,859,85.44%,14.56%,<empty>,.17,42.52%,1.99, ,2.19, ,1 MAY 26,260,26.95, ,30.15, ,<empty>,1,17.49%,82.51%,<empty>,-.80,48.74%,,
,,<empty>,960,89.30%,10.70%,<empty>,.13,42.45%,1.41, ,1.50, ,1 MAY 26,265,31.35, ,34.55, ,<empty>,0,14.16%,85.84%,<empty>,-.83,49.95%,,
,,<empty>,832,92.27%,7.73%,<empty>,.09,42.52%,.96, ,1.05, ,1 MAY 26,270,35.95, ,39.00, ,<empty>,8,11.47%,88.53%,<empty>,-.86,51.16%,,
,,<empty>,212,94.40%,5.60%,<empty>,.07,42.87%,.59, ,.82, ,1 MAY 26,275,40.75, ,43.90, ,<empty>,0,10.10%,89.90%,<empty>,-.87,54.48%,,
,,<empty>,156,95.88%,4.12%,<empty>,.05,43.56%,.47, ,.55, ,1 MAY 26,280,45.00, ,48.75, ,<empty>,0,7.92%,92.08%,<empty>,-.90,54.58%,,
,,<empty>,217,97.12%,2.88%,<empty>,.04,43.71%,.30, ,.39, ,1 MAY 26,285,50.05, ,53.70, ,<empty>,0,7.47%,92.53%,<empty>,-.90,58.87%,,
,,<empty>,5,97.90%,2.10%,<empty>,.03,44.40%,.18, ,.32, ,1 MAY 26,290,55.05, ,58.70, ,<empty>,0,7.10%,92.90%,<empty>,-.90,63.13%,,
,,<empty>,1,98.44%,1.56%,<empty>,.02,45.22%,.11, ,.26, ,1 MAY 26,295,60.05, ,63.70, ,<empty>,0,6.80%,93.20%,<empty>,-.90,67.37%,,
,,<empty>,3,98.92%,1.08%,<empty>,.01,45.42%,.10, ,.15, ,1 MAY 26,300,65.05, ,68.70, ,<empty>,0,6.55%,93.45%,<empty>,-.90,71.60%,,
,,<empty>,2,99.15%,0.85%,<empty>,.01,46.65%,.05, ,.15, ,1 MAY 26,305,70.10, ,73.70, ,<empty>,0,6.41%,93.59%,<empty>,-.89,76.09%,,
,,<empty>,0,99.30%,0.70%,<empty>,.01,48.13%,.03, ,.14, ,1 MAY 26,310,75.10, ,78.70, ,<empty>,0,6.23%,93.77%,<empty>,-.89,80.30%,,
,,<empty>,9,99.50%,0.50%,<empty>,.01,48.49%,.01, ,.11, ,1 MAY 26,315,80.05, ,83.70, ,<empty>,0,6.04%,93.96%,<empty>,-.89,84.25%,,

8 MAY 26  (28)  100 (Weeklys)
,,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,,
,,<empty>,0,0.00%,100.00%,<empty>,1.00,--,111.75, ,115.50, ,8 MAY 26,120,0, ,.32, ,<empty>,6,98.56%,1.44%,<empty>,-.01,103.38%,,
,,<empty>,0,0.00%,100.00%,<empty>,1.00,--,106.95, ,110.35, ,8 MAY 26,125,0, ,.25, ,<empty>,2,98.80%,1.20%,<empty>,-.01,94.66%,,
,,<empty>,3,0.00%,100.00%,<empty>,1.00,--,101.90, ,105.40, ,8 MAY 26,130,0, ,.13, ,<empty>,1,99.29%,0.71%,<empty>,.00,82.71%,,
,,<empty>,0,0.00%,100.00%,<empty>,1.00,--,96.95, ,100.35, ,8 MAY 26,135,0, ,.12, ,<empty>,2,99.32%,0.68%,<empty>,.00,77.11%,,
,,<empty>,0,0.00%,100.00%,<empty>,1.00,--,91.95, ,95.45, ,8 MAY 26,140,.01, ,.14, ,<empty>,25,99.17%,0.83%,<empty>,.00,74.27%,,
,,<empty>,0,0.00%,100.00%,<empty>,1.00,--,87.10, ,90.45, ,8 MAY 26,145,.02, ,.11, ,<empty>,14,99.24%,0.76%,<empty>,.00,68.54%,,
,,<empty>,0,0.00%,100.00%,<empty>,1.00,--,82.50, ,85.15, ,8 MAY 26,150,.06, ,.20, ,<empty>,385,98.64%,1.36%,<empty>,-.01,69.71%,,
,,<empty>,1,0.00%,100.00%,<empty>,1.00,--,77.20, ,80.60, ,8 MAY 26,155,.09, ,.27, ,<empty>,22,98.19%,1.81%,<empty>,-.01,68.02%,,
,,<empty>,8,0.00%,100.00%,<empty>,1.00,--,72.20, ,75.75, ,8 MAY 26,160,.15, ,.29, ,<empty>,99,97.83%,2.17%,<empty>,-.01,65.20%,,
,,<empty>,1,0.00%,100.00%,<empty>,1.00,0.00%,67.30, ,70.80, ,8 MAY 26,165,.20, ,.36, ,<empty>,233,97.30%,2.70%,<empty>,-.02,62.83%,,
,,<empty>,3,0.00%,100.00%,<empty>,1.00,0.00%,62.40, ,65.65, ,8 MAY 26,170,.30, ,.49, ,<empty>,189,96.37%,3.63%,<empty>,-.02,61.55%,,
,,<empty>,7,0.00%,100.00%,<empty>,1.00,0.00%,57.85, ,60.55, ,8 MAY 26,175,.42, ,.63, ,<empty>,195,95.35%,4.65%,<empty>,-.03,59.77%,,
,,<empty>,50,0.00%,100.00%,<empty>,1.00,0.00%,53.20, ,55.75, ,8 MAY 26,180,.64, ,.76, ,<empty>,275,94.05%,5.95%,<empty>,-.04,58.10%,,
,,<empty>,27,0.28%,99.72%,<empty>,1.00,30.39%,48.45, ,50.65, ,8 MAY 26,185,.80, ,1.06, ,<empty>,430,92.41%,7.59%,<empty>,-.06,56.50%,,
,,<empty>,27,5.41%,94.59%,<empty>,.96,45.42%,44.20, ,45.95, ,8 MAY 26,190,1.14, ,1.27, ,<empty>,260,90.52%,9.48%,<empty>,-.07,54.66%,,
,,<empty>,41,6.41%,93.59%,<empty>,.95,42.11%,39.05, ,41.30, ,8 MAY 26,195,1.49, ,1.63, ,<empty>,367,88.19%,11.81%,<empty>,-.09,52.88%,,
,,<empty>,55,12.28%,87.72%,<empty>,.90,46.82%,35.25, ,36.90, ,8 MAY 26,200,1.96, ,2.11, ,<empty>,818,85.27%,14.73%,<empty>,-.12,51.30%,,
,,<empty>,162,17.73%,82.27%,<empty>,.86,48.86%,31.20, ,33.00, ,8 MAY 26,205,2.61, ,2.78, ,<empty>,270,81.57%,18.43%,<empty>,-.15,50.12%,,
,,<empty>,442,21.42%,78.58%,<empty>,.82,46.58%,26.65, ,28.80, ,8 MAY 26,210,3.40, ,3.55, ,<empty>,397,77.41%,22.59%,<empty>,-.19,48.65%,,
,,<empty>,460,26.27%,73.73%,<empty>,.78,45.07%,23.10, ,24.20, ,8 MAY 26,215,4.25, ,4.55, ,<empty>,"1,222",72.72%,27.28%,<empty>,-.23,46.96%,,
,,<empty>,"1,162",32.02%,67.98%,<empty>,.72,43.91%,19.55, ,20.20, ,8 MAY 26,220,5.25, ,5.80, ,<empty>,356,67.37%,32.63%,<empty>,-.28,45.21%,,
,,<empty>,"1,552",38.50%,61.50%,<empty>,.66,42.95%,16.10, ,16.75, ,8 MAY 26,225,6.90, ,7.40, ,<empty>,129,60.95%,39.05%,<empty>,-.34,44.50%,,
,,<empty>,"1,600",45.52%,54.48%,<empty>,.59,42.21%,13.10, ,13.60, ,8 MAY 26,230,9.05, ,9.30, ,<empty>,107,54.09%,45.91%,<empty>,-.41,44.11%,,
,,<empty>,"2,975",52.77%,47.23%,<empty>,.52,41.48%,10.40, ,10.85, ,8 MAY 26,235,11.20, ,11.60, ,<empty>,35,47.15%,52.85%,<empty>,-.48,43.17%,,
,,<empty>,"1,944",59.99%,40.01%,<empty>,.44,41.09%,8.15, ,8.55, ,8 MAY 26,240,13.85, ,14.55, ,<empty>,28,40.26%,59.74%,<empty>,-.55,43.09%,,
,,<empty>,"1,126",66.91%,33.09%,<empty>,.37,40.57%,6.20, ,6.60, ,8 MAY 26,245,16.40, ,18.60, ,<empty>,8,33.92%,66.08%,<empty>,-.62,43.67%,,
,,<empty>,"1,122",73.21%,26.79%,<empty>,.31,40.32%,4.75, ,4.95, ,8 MAY 26,250,19.70, ,22.15, ,<empty>,20,28.02%,71.98%,<empty>,-.68,43.52%,,
,,<empty>,354,79.00%,21.00%,<empty>,.24,39.69%,3.35, ,3.70, ,8 MAY 26,255,23.40, ,26.50, ,<empty>,2,23.35%,76.65%,<empty>,-.73,44.83%,,
,,<empty>,367,83.50%,16.50%,<empty>,.19,40.06%,2.45, ,2.88, ,8 MAY 26,260,26.85, ,30.55, ,<empty>,0,18.34%,81.66%,<empty>,-.79,43.71%,,
,,<empty>,630,87.47%,12.53%,<empty>,.15,39.91%,1.79, ,2.05, ,8 MAY 26,265,31.75, ,34.20, ,<empty>,2,14.70%,85.30%,<empty>,-.83,44.17%,,
,,<empty>,139,90.73%,9.27%,<empty>,.11,39.66%,1.27, ,1.42, ,8 MAY 26,270,36.20, ,38.75, ,<empty>,8,11.93%,88.07%,<empty>,-.86,45.13%,,
,,<empty>,47,93.42%,6.58%,<empty>,.08,39.19%,.80, ,1.00, ,8 MAY 26,275,40.85, ,44.05, ,<empty>,2,10.92%,89.08%,<empty>,-.87,48.97%,,
,,<empty>,287,94.88%,5.12%,<empty>,.06,40.19%,.66, ,.74, ,8 MAY 26,280,45.75, ,48.80, ,<empty>,0,9.64%,90.36%,<empty>,-.88,51.53%,,
,,<empty>,15,96.22%,3.78%,<empty>,.05,40.54%,.40, ,.61, ,8 MAY 26,285,50.05, ,53.55, ,<empty>,0,7.58%,92.42%,<empty>,-.90,51.20%,,
,,<empty>,4,97.19%,2.81%,<empty>,.04,41.02%,.29, ,.45, ,8 MAY 26,290,55.05, ,58.60, ,<empty>,0,7.27%,92.73%,<empty>,-.90,55.12%,,
,,<empty>,7,97.87%,2.13%,<empty>,.03,41.70%,.19, ,.37, ,8 MAY 26,295,60.00, ,63.60, ,<empty>,0,6.88%,93.12%,<empty>,-.90,58.55%,,
,,<empty>,9,98.42%,1.58%,<empty>,.02,42.16%,.16, ,.25, ,8 MAY 26,300,65.15, ,68.60, ,<empty>,0,6.82%,93.18%,<empty>,-.90,62.92%,,
,,<empty>,0,98.78%,1.22%,<empty>,.02,42.97%,.08, ,.24, ,8 MAY 26,305,70.00, ,73.60, ,<empty>,0,6.42%,93.58%,<empty>,-.90,65.86%,,
,,<empty>,1,98.99%,1.01%,<empty>,.01,44.20%,.07, ,.20, ,8 MAY 26,310,75.10, ,78.60, ,<empty>,0,6.36%,93.64%,<empty>,-.89,69.99%,,
,,<empty>,2,99.11%,0.89%,<empty>,.01,45.87%,.08, ,.17, ,8 MAY 26,315,80.10, ,83.60, ,<empty>,0,6.20%,93.80%,<empty>,-.89,73.64%,,

15 MAY 26  (35)  100
,,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,,
,,<empty>,176,0.00%,100.00%,<empty>,1.00,--,127.35, ,129.95, ,15 MAY 26,105,0, ,.07, ,<empty>,"1,272",99.59%,0.41%,<empty>,.00,92.75%,,
,,<empty>,43,0.00%,100.00%,<empty>,1.00,--,121.90, ,125.00, ,15 MAY 26,110,0, ,.42, ,<empty>,161,98.24%,1.76%,<empty>,-.01,107.35%,,
,,<empty>,45,0.00%,100.00%,<empty>,1.00,--,116.95, ,120.00, ,15 MAY 26,115,.01, ,.11, ,<empty>,259,99.36%,0.64%,<empty>,.00,87.51%,,
,,<empty>,"2,263",0.00%,100.00%,<empty>,1.00,--,112.25, ,114.90, ,15 MAY 26,120,.02, ,.08, ,<empty>,410,99.44%,0.56%,<empty>,.00,81.12%,,
,,<empty>,60,0.00%,100.00%,<empty>,1.00,--,107.00, ,110.05, ,15 MAY 26,125,.02, ,.14, ,<empty>,433,99.17%,0.83%,<empty>,.00,80.48%,,
,,<empty>,70,0.00%,100.00%,<empty>,1.00,--,102.05, ,105.10, ,15 MAY 26,130,.04, ,.07, ,<empty>,698,99.38%,0.62%,<empty>,.00,72.80%,,
,,<empty>,70,0.00%,100.00%,<empty>,1.00,--,97.10, ,100.15, ,15 MAY 26,135,.07, ,.08, ,<empty>,"1,439",99.18%,0.82%,<empty>,.00,70.89%,,
,,<empty>,31,0.00%,100.00%,<empty>,1.00,--,92.60, ,95.20, ,15 MAY 26,140,.08, ,.11, ,<empty>,723,98.99%,1.01%,<empty>,-.01,68.45%,,
,,<empty>,21,0.00%,100.00%,<empty>,1.00,--,87.20, ,90.50, ,15 MAY 26,145,.10, ,.16, ,<empty>,994,98.68%,1.32%,<empty>,-.01,66.76%,,
,,<empty>,137,0.00%,100.00%,<empty>,1.00,--,82.35, ,85.30, ,15 MAY 26,150,.18, ,.19, ,<empty>,"11,368",98.21%,1.79%,<empty>,-.01,65.51%,,
,,<empty>,415,0.00%,100.00%,<empty>,1.00,0.00%,77.90, ,80.20, ,15 MAY 26,155,.21, ,.25, ,<empty>,"2,095",97.82%,2.18%,<empty>,-.01,63.15%,,
,,<empty>,227,0.00%,100.00%,<empty>,1.00,--,72.50, ,75.40, ,15 MAY 26,160,.30, ,.32, ,<empty>,"3,184",97.18%,2.82%,<empty>,-.02,61.60%,,
,,<empty>,"1,816",0.00%,100.00%,<empty>,1.00,0.00%,68.05, ,70.35, ,15 MAY 26,165,.40, ,.42, ,<empty>,"2,747",96.41%,3.59%,<empty>,-.02,59.96%,,
,,<empty>,347,0.00%,100.00%,<empty>,1.00,0.00%,63.20, ,65.55, ,15 MAY 26,170,.50, ,.54, ,<empty>,"6,110",95.57%,4.43%,<empty>,-.03,57.96%,,
,,<empty>,307,0.00%,100.00%,<empty>,1.00,0.00%,58.30, ,60.80, ,15 MAY 26,175,.67, ,.69, ,<empty>,"5,054",94.42%,5.58%,<empty>,-.04,56.35%,,
,,<empty>,770,2.37%,97.63%,<empty>,.98,41.77%,54.35, ,55.35, ,15 MAY 26,180,.85, ,.89, ,<empty>,"11,847",93.09%,6.91%,<empty>,-.05,54.57%,,
,,<empty>,505,4.25%,95.75%,<empty>,.97,42.89%,49.40, ,50.75, ,15 MAY 26,185,1.10, ,1.15, ,<empty>,"11,940",91.40%,8.60%,<empty>,-.06,52.98%,,
,,<empty>,"28,554",8.73%,91.27%,<empty>,.93,47.60%,45.10, ,46.40, ,15 MAY 26,190,1.41, ,1.47, ,<empty>,"11,725",89.39%,10.61%,<empty>,-.08,51.34%,,
,,<empty>,"1,374",11.37%,88.63%,<empty>,.91,46.72%,40.45, ,41.90, ,15 MAY 26,195,1.78, ,1.90, ,<empty>,"14,085",86.96%,13.04%,<empty>,-.10,49.75%,,
,,<empty>,"17,609",14.35%,85.65%,<empty>,.89,45.50%,36.35, ,37.00, ,15 MAY 26,200,2.35, ,2.43, ,<empty>,"22,793",83.88%,16.12%,<empty>,-.13,48.50%,,
,,<empty>,"15,264",18.17%,81.83%,<empty>,.85,44.68%,32.10, ,32.65, ,15 MAY 26,205,3.05, ,3.15, ,<empty>,"18,615",80.20%,19.80%,<empty>,-.16,47.38%,,
,,<empty>,"19,665",23.27%,76.73%,<empty>,.81,44.97%,28.00, ,28.95, ,15 MAY 26,210,3.90, ,4.00, ,<empty>,"11,615",76.05%,23.95%,<empty>,-.20,46.13%,,
,,<empty>,"7,163",27.66%,72.34%,<empty>,.77,43.03%,24.10, ,24.60, ,15 MAY 26,215,4.85, ,5.05, ,<empty>,"4,796",71.43%,28.57%,<empty>,-.24,44.69%,,
,,<empty>,"15,309",33.50%,66.50%,<empty>,.71,42.65%,20.60, ,21.00, ,15 MAY 26,220,6.25, ,6.45, ,<empty>,"8,840",65.87%,34.13%,<empty>,-.29,44.01%,,
,,<empty>,"16,295",39.78%,60.22%,<empty>,.65,42.39%,17.20, ,17.95, ,15 MAY 26,225,7.90, ,8.10, ,<empty>,"6,357",59.93%,40.07%,<empty>,-.35,43.24%,,
,,<empty>,"19,503",46.16%,53.84%,<empty>,.59,41.64%,14.15, ,14.90, ,15 MAY 26,230,9.75, ,9.95, ,<empty>,"4,840",53.73%,46.27%,<empty>,-.41,42.14%,,
,,<empty>,"16,792",52.68%,47.32%,<empty>,.52,39.97%,11.35, ,11.70, ,15 MAY 26,235,12.10, ,12.30, ,<empty>,"5,388",47.22%,52.78%,<empty>,-.48,41.70%,,
,,<empty>,"20,101",59.38%,40.62%,<empty>,.45,39.76%,9.15, ,9.40, ,15 MAY 26,240,14.70, ,15.10, ,<empty>,"1,997",40.79%,59.21%,<empty>,-.54,41.34%,,
,,<empty>,"10,242",65.79%,34.21%,<empty>,.39,39.36%,7.20, ,7.40, ,15 MAY 26,245,17.10, ,18.95, ,<empty>,"1,256",34.71%,65.29%,<empty>,-.61,41.36%,,
,,<empty>,"50,482",71.81%,28.19%,<empty>,.32,38.91%,5.55, ,5.70, ,15 MAY 26,250,20.60, ,22.00, ,<empty>,"2,949",28.91%,71.09%,<empty>,-.67,40.82%,,
,,<empty>,"14,548",77.22%,22.78%,<empty>,.27,38.58%,4.20, ,4.35, ,15 MAY 26,255,23.90, ,26.20, ,<empty>,254,23.92%,76.08%,<empty>,-.73,41.02%,,
,,<empty>,"32,242",81.89%,18.11%,<empty>,.21,38.43%,3.15, ,3.30, ,15 MAY 26,260,28.25, ,29.90, ,<empty>,185,19.65%,80.35%,<empty>,-.77,41.42%,,
,,<empty>,"5,940",85.83%,14.17%,<empty>,.17,38.34%,2.36, ,2.45, ,15 MAY 26,265,32.05, ,34.45, ,<empty>,0,15.91%,84.09%,<empty>,-.82,41.60%,,
,,<empty>,"13,970",89.01%,10.99%,<empty>,.13,38.42%,1.73, ,1.86, ,15 MAY 26,270,37.00, ,38.85, ,<empty>,0,13.71%,86.29%,<empty>,-.84,43.73%,,
,,<empty>,"8,911",91.61%,8.39%,<empty>,.10,38.45%,1.29, ,1.35, ,15 MAY 26,275,40.80, ,43.45, ,<empty>,5,10.28%,89.72%,<empty>,-.88,42.30%,,
,,<empty>,"5,678",93.54%,6.46%,<empty>,.08,38.81%,.97, ,1.02, ,15 MAY 26,280,45.55, ,48.05, ,<empty>,9,8.45%,91.55%,<empty>,-.90,43.22%,,
,,<empty>,"6,584",95.04%,4.96%,<empty>,.06,39.19%,.73, ,.77, ,15 MAY 26,285,50.65, ,53.00, ,<empty>,0,8.02%,91.98%,<empty>,-.90,46.76%,,
,,<empty>,"3,925",96.18%,3.82%,<empty>,.05,39.65%,.55, ,.59, ,15 MAY 26,290,55.20, ,57.90, ,<empty>,0,6.69%,93.31%,<empty>,-.91,47.60%,,
,,<empty>,"1,946",96.99%,3.01%,<empty>,.04,40.36%,.43, ,.47, ,15 MAY 26,295,60.05, ,62.90, ,<empty>,0,6.18%,93.82%,<empty>,-.91,50.15%,,
,,<empty>,"6,689",97.70%,2.30%,<empty>,.03,40.75%,.33, ,.35, ,15 MAY 26,300,65.05, ,67.90, ,<empty>,1,5.98%,94.02%,<empty>,-.91,53.43%,,
,,<empty>,"1,987",98.18%,1.82%,<empty>,.02,41.45%,.26, ,.28, ,15 MAY 26,305,70.15, ,72.90, ,<empty>,0,5.96%,94.04%,<empty>,-.91,57.19%,,
,,<empty>,"6,700",98.56%,1.44%,<empty>,.02,42.11%,.20, ,.23, ,15 MAY 26,310,75.05, ,78.45, ,<empty>,0,6.36%,93.64%,<empty>,-.90,62.50%,,
,,<empty>,970,98.86%,1.14%,<empty>,.02,42.70%,.14, ,.20, ,15 MAY 26,315,80.05, ,82.90, ,<empty>,0,5.59%,94.41%,<empty>,-.90,63.30%,,
,,<empty>,"1,125",99.10%,0.90%,<empty>,.01,43.28%,.11, ,.16, ,15 MAY 26,320,85.05, ,87.90, ,<empty>,0,5.51%,94.49%,<empty>,-.90,66.61%,,
,,<empty>,"1,099",99.25%,0.75%,<empty>,.01,44.22%,.09, ,.14, ,15 MAY 26,325,90.00, ,92.90, ,<empty>,0,5.40%,94.60%,<empty>,-.90,69.70%,,
,,<empty>,"1,996",99.39%,0.61%,<empty>,.01,44.94%,.08, ,.11, ,15 MAY 26,330,95.10, ,98.45, ,<empty>,0,5.93%,94.07%,<empty>,-.88,75.82%,,
,,<empty>,"1,411",99.59%,0.41%,<empty>,.01,46.29%,.05, ,.08, ,15 MAY 26,340,105.00, ,107.90, ,<empty>,0,5.30%,94.70%,<empty>,-.88,79.71%,,
,,<empty>,"3,868",99.69%,0.31%,<empty>,.00,48.10%,.03, ,.07, ,15 MAY 26,350,115.05, ,117.90, ,<empty>,1,5.30%,94.70%,<empty>,-.88,86.61%,,
,,<empty>,392,99.45%,0.55%,<empty>,.01,55.93%,.02, ,.21, ,15 MAY 26,360,125.15, ,127.90, ,<empty>,0,5.35%,94.65%,<empty>,-.87,93.72%,,
,,<empty>,"3,490",99.91%,0.09%,<empty>,.00,48.23%,.01, ,.02, ,15 MAY 26,370,135.00, ,137.90, ,<empty>,0,5.27%,94.73%,<empty>,-.86,99.86%,,

22 MAY 26  (42)  100 (Weeklys)
,,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Prob.OTM,Prob.ITM,Size,Delta,Impl Vol,,
